,uid,logf0_rmse_recon,logf0_corr_recon,logf0_rmse_gt,logf0_corr_gt
37,LJ044-0026,0.19566759390733543,0.8248636880557697,0.15761804868111545,0.855979083516685
38,LJ002-0294,0.176255381467071,0.7624657769491852,0.171919569584575,0.7841706983078418
39,LJ029-0018,0.31035948879432657,0.5257252849774751,0.2374737728230865,0.5784607221741056
40,LJ017-0084,0.2010144874141236,0.6870858866204758,0.13455401070685521,0.8568971665369317
41,LJ015-0103,0.34098048487927746,0.5737863645921947,0.27599903462337455,0.7541938630927247
42,LJ003-0302,0.3011960180329893,0.7676416431085066,0.3079653524231394,0.8089508467980752
43,LJ026-0013,0.14780593845735895,0.8347973926115582,0.09051721814731523,0.9240518186926429
44,LJ037-0137,0.2837002584107806,0.6352745564707807,0.17880917966670387,0.7849286854269559
45,LJ045-0166,0.22921150643095492,0.7727575701990472,0.2794350939280744,0.7711916941262507
46,LJ005-0166,0.27736251242558574,0.68748302328464,0.24271024533804472,0.5766079610318358
47,LJ017-0163,0.21961871056056362,0.8992357651865852,0.10208177846201101,0.9248204195674382
48,LJ019-0295,0.22702258446609752,0.6158857271674427,0.16138403941464896,0.8334549538181829
49,LJ038-0239,0.1399069730795223,0.8777360218631187,0.13609305430048166,0.8377630238411202
50,LJ027-0080,0.3388298776836109,0.7716594286832983,0.45576253974079783,0.682578969033876
51,LJ014-0265,0.23464284320063106,0.7395804182449021,0.22503661359459842,0.6313515770680059
52,LJ003-0247,0.29715417961950025,0.7553440900880483,0.3658495128456373,0.6139303839152436
53,LJ047-0013,0.24309708245340958,0.7080469665323914,0.2746323913647665,0.7522065555545612
54,LJ002-0168,0.21651120541229707,0.723231847124795,0.22252914337721408,0.7355426767737422
55,LJ042-0216,0.18295379294332204,0.7612386958811199,0.1903146317993139,0.7036848088360975
56,LJ004-0156,0.36524365891977506,0.3910775816852496,0.1843357129376255,0.7969244706538837
57,LJ041-0084,0.2036773018587649,0.7415933845379297,0.11526080508409677,0.9163651078415929
58,LJ022-0151,0.16637510345983608,0.8921905494292321,0.22988360295432725,0.5878537784545692
59,LJ006-0076,0.24929255091420807,0.544968841710205,0.12721808032592594,0.8552146737171591
60,LJ015-0171,0.18658065089974793,0.8174610264250333,0.22806402753207078,0.7414770013974307
61,LJ037-0080,0.22005484191448835,0.712607937989125,0.19830222375609333,0.7257920665693172
62,LJ002-0260,0.327173543511961,0.5054839401239044,0.29271977921341485,0.5696151767226616
63,LJ048-0080,0.28692124218577747,0.685570568494317,0.4614500553835487,0.5137045147218932
64,LJ006-0149,0.27999755176772717,0.7407061440742246,0.2810436803368596,0.8225220534153382
65,LJ025-0109,0.15006087049623318,0.8976333945389247,0.1824906991728771,0.8486178427140509
66,LJ010-0279,0.18950076820945405,0.8930866094856337,0.10872878847826045,0.9312164473708264
67,LJ018-0158,0.22015380874295162,0.8400268916937551,0.3634715128614406,0.580390317783415
68,LJ037-0096,0.16969311222982528,0.7465431611946739,0.1640271568426895,0.745115973189905
69,LJ042-0251,0.2445894066332786,0.5643061722411121,0.08455019627827344,0.9217712101744999
70,LJ043-0115,0.21355112340849483,0.7912779281157611,0.20684371159117593,0.6968296089362417
71,LJ043-0181,0.1835099006311245,0.8568371971524301,0.15242688841190058,0.8374723594675069
72,LJ013-0064,0.08800100521048689,0.9269526208798452,0.13237704954969598,0.8635729712417889
73,LJ029-0164,0.19513707764043398,0.7399804815726929,0.14767886826307475,0.7373701992426666
74,LJ005-0148,0.1801511555213453,0.5794901033313457,0.15348426464540357,0.715670887996972
75,LJ047-0107,0.19278825488813064,0.7077216975162329,0.20691249656808294,0.6826362021647707
76,LJ002-0304,0.26544226717607217,0.6313114575408829,0.19588581968370694,0.8072205277327982
77,LJ018-0253,0.32798137266900307,0.6272309061966267,0.41394000410255255,0.5675000806072901
78,LJ006-0120,0.19611783189600976,0.9030702410327468,0.266909549345765,0.7869209552454375
79,LJ015-0200,0.24648476994879268,0.7910160496840907,0.2606552233970518,0.7838511003693508
80,LJ039-0141,0.10571786171412627,0.9033265416460594,0.14852398343619497,0.8145584828041927
81,LJ026-0050,0.11696528764379276,0.9202791244101854,0.1223027595341541,0.8759482366838843
82,LJ023-0116,0.1524748200436151,0.8647024237408572,0.1549563631754666,0.8633373856615384
83,LJ030-0145,0.34430067750321836,0.5765887525551043,0.3855233031959512,0.49227950658486463
84,LJ031-0065,0.15224725990831123,0.8266442869371383,0.1596825959302012,0.7492728614747997
85,LJ011-0090,0.3047346324108847,0.3691678842590057,0.279702384099077,0.38113443672970837
86,LJ006-0051,0.324509679087051,0.5238716587163715,0.20218571313149677,0.7534963202556596
87,LJ006-0049,0.15323245011033312,0.6605080537354671,0.13963738135061934,0.7036376287050033
88,LJ032-0186,0.17142449582117003,0.8651676640156344,0.21186061953632843,0.8269997818263212
89,LJ010-0217,0.12071453858854897,0.8466499473300412,0.16744829919922777,0.727744951461983
90,LJ049-0177,0.20240086595000803,0.6737639408726536,0.13961041739938307,0.8372228100346039
91,LJ040-0221,0.271321392244301,0.5400685914572244,0.1593388845979709,0.8289005394139511
92,LJ040-0022,0.07846304141750557,0.9609007577019035,0.07107841819639195,0.9587194305966221
93,LJ047-0122,0.18863015726647855,0.7833281105007863,0.17084723339933897,0.8156230817689178
94,LJ015-0074,0.11461549169871701,0.9321193541915199,0.1387114999853856,0.9104662217227413
95,LJ019-0216,0.2866840919042699,0.7594652352363723,0.20496441584044361,0.8940818054999927
96,LJ029-0041,0.25703071153800283,0.2424530150984023,0.18325287114055053,0.5571643130164531
97,LJ038-0213,0.0669246302955898,0.951876727080993,0.16568560408763458,0.798731112824038
98,LJ011-0005,0.25722621497206727,0.7380308170848432,0.30459941140137115,0.8254437667833635
99,LJ035-0095,0.17297054119981745,0.7586387725056343,0.1916313739040892,0.6815971168847275
100,LJ041-0106,0.20823600338179546,0.7028324640243002,0.17484450427208065,0.7324822446047277
101,LJ009-0166,0.2030753123728697,0.7726573542414882,0.18881952608426542,0.7922959829141735
102,LJ009-0283,0.293685292457662,0.5697228784399021,0.1780406709571875,0.8072022750696568
103,LJ019-0089,0.2351679513068303,0.7190630098242754,0.36360564731236866,0.6428185285947104
104,LJ004-0109,0.3279848389149653,0.6438489628401766,0.2077159429725634,0.6422506944778459
105,LJ018-0143,0.246745657823077,0.8019542206077436,0.2669364127796272,0.753642924218346
106,LJ018-0366,0.1473024516773797,0.8515709986286057,0.14017578497875532,0.8510523308169772
107,LJ011-0156,0.23680526005083383,0.8691778322521964,0.258602976318399,0.8292241145391133
108,LJ011-0033,0.2529862872501133,0.7650730421797196,0.3023190307452783,0.687797600767148
109,LJ022-0011,0.24030151817359172,0.5756972879886644,0.27985618582518906,0.5319656940261787
110,LJ048-0021,0.1747240005996546,0.6924594124628898,0.249631128013782,0.7482049603564866
111,LJ007-0016,0.20998116630291916,0.645731279519815,0.25025329837286225,0.5089990953154419
112,LJ036-0118,0.314275576021659,0.48328010721447684,0.2520510922366052,0.5533090589978225
113,LJ039-0044,0.08892620662587335,0.9153572958332524,0.11624873345794641,0.8397384142768198
114,LJ019-0033,0.22564347535958973,0.6310011003162583,0.18554321531309945,0.6807491246493032
115,LJ011-0165,0.23040959974657288,0.8113512634448793,0.3682853871778539,0.6329903405654795
116,LJ003-0297,0.17358616203297528,0.8500106003527597,0.17603793303498644,0.8481947990587839
117,LJ011-0132,0.4860162434525884,0.019546003729362445,0.4225952687184815,0.27040216482628154
118,LJ004-0041,0.23651486047390724,0.5291178241788176,0.21040508104364675,0.6780464023796814
119,LJ014-0140,0.2899756367060405,0.7068212208318927,0.31227141483359516,0.6422975187932406
120,LJ013-0047,0.2220684738980197,0.8246793159726676,0.22116311854202406,0.7915247920811124
121,LJ009-0296,0.19439439634279876,0.8055408911395796,0.16196443932553453,0.8623529328612026
122,LJ013-0233,0.2316737429423001,0.7134911773967193,0.23490487651113903,0.7071016064169391
123,LJ002-0163,0.24649976033015675,0.5057467719017088,0.2634130260069256,0.5143049341111965
124,LJ016-0357,0.3872204349025008,0.41825711980949914,0.39100468312611564,0.4528944416930248
125,LJ004-0153,0.20605715882346592,0.6984142863896369,0.14262657105991672,0.8674268729155832
126,LJ050-0097,0.1253529604685065,0.9087426709868169,0.08297791517125042,0.9497423551932673
127,LJ042-0161,0.12450712083903846,0.8217057429040243,0.1671968786498695,0.7299184307508159
128,LJ039-0040,0.1423090553586747,0.8941610215385228,0.14864178756991045,0.8930325120596697
129,LJ050-0149,0.24935988575836415,0.707420239049686,0.23182121786609558,0.6158230359266488
130,LJ050-0056,0.1407852532103726,0.9307585438366737,0.24536811167746683,0.6346411553545498
131,LJ015-0141,0.37230154751237426,0.5970739341681977,0.4380347175925631,0.29758825249075593
132,LJ025-0169,0.16204523118799444,0.888580091590703,0.17589907465823018,0.7517256337617397
133,LJ022-0129,0.14784214957392952,0.8187203646414555,0.16710300124935898,0.6887466805151514
134,LJ023-0141,0.1502502147303643,0.8856675181977187,0.14269000481096208,0.8472052139903709
135,LJ017-0234,0.11948148910036945,0.9001412289100376,0.10252369958263521,0.9286089848578745
136,LJ026-0121,0.1919556445168531,0.8038142623886221,0.2506002089605272,0.6933019614393953
137,LJ032-0234,0.17700834251752068,0.7807582370068944,0.3160625273089236,0.5093662957636785
138,LJ045-0250,0.3922385766983874,0.49368414650584364,0.4002820443423962,0.5616710051758512
139,LJ026-0166,0.13576138990528488,0.9106955084615842,0.14889711577835854,0.8770770801390556
140,LJ031-0218,0.17343750398851782,0.7824213711796277,0.1299752825747809,0.8091627960886436
141,LJ005-0144,0.10534925994441716,0.8864067476109565,0.15003697267649274,0.7929653774146609
142,LJ014-0196,0.11804192391582348,0.8277983334818106,0.13060994963353226,0.7927475373588477
143,LJ017-0086,0.1148361623934369,0.9084153472298103,0.15421187268108794,0.8745392529278775
144,LJ013-0145,0.11277978200986283,0.904363315981228,0.06515238715783477,0.9538108426385067
145,LJ014-0227,0.09695249858178687,0.9725791104952604,0.09347117287311346,0.950939869751647
146,LJ021-0020,0.35216319364157206,0.4885833807993875,0.20992327345710457,0.7331359689406867
147,LJ013-0158,0.2846000640975762,0.7782067175337846,0.21573067374549973,0.6897831553762841
148,LJ014-0225,0.12468400812613527,0.8463640650517572,0.18033391026289392,0.7406306557313552
149,LJ032-0047,0.36899621058904464,0.5426399196014569,0.2638995167104691,0.8110959696054293
150,LJ032-0051,0.23417141796472987,0.828721593769964,0.29692971899064885,0.7075490204704925
151,LJ019-0155,0.32841003780938466,0.6127032514139569,0.27590250581396975,0.793877990539492
152,LJ020-0105,0.05956870535118383,0.9438989094418488,0.08038556114919954,0.9085186221928365
153,LJ009-0104,0.19362860189280673,0.7862982819613639,0.22829793660147424,0.6579571388543228
154,LJ004-0149,0.1647639950140114,0.6802178528520162,0.10760983650888703,0.8383882319154294
155,LJ018-0103,0.30356669989048574,0.6973211715182225,0.3254771826123567,0.5547609476576244
156,LJ001-0017,0.13805427029746514,0.901272644803842,0.18784902402389184,0.8220547350921911
