,uid,logf0_rmse_recon,logf0_corr_recon,logf0_rmse_gt,logf0_corr_gt
50,957_132568_000025_000001,0.23384166134868187,0.39713965268036816,0.2540107725232828,0.21366002050825228
51,166_352_000003_000010,0.2870862051302472,0.7073221927647482,0.32930508941233905,0.7903872027450758
52,576_129623_000107_000004,0.28370578701925164,0.6348136973834416,0.23362487962538622,0.653980760060754
53,3361_1150_000028_000002,0.36740361084684586,0.7607259276259664,0.48205095516734126,0.2558264600446272
54,1731_142320_000059_000000,0.8237739772880854,0.8630466519116072,0.8046832574921068,0.81168818890134
55,2229_152864_000008_000000,0.15963254152156653,0.5955078787852074,0.19201496575161078,0.4374280005430207
56,6492_68353_000006_000000,0.18184730239154284,0.5154684475567907,0.19065423007108123,0.4664992698502573
57,7145_87280_000025_000000,0.32155473950989794,0.4518931683846511,0.3192798986217239,0.3347982473043626
58,3825_134160_000001_000000,0.34965807149073,0.39632676226726776,0.17264416220988302,0.6930485901873755
59,3728_105398_000070_000001,0.23697959552514533,0.23808669538304725,0.34174977550245905,-0.10469207838031924
60,1903_132499_000027_000011,0.26357832606259907,0.75624738545137,0.27333296565709553,0.6893225929609957
61,5448_19208_000052_000001,0.2364853392684172,0.6376000358539524,0.2706362027334833,0.475942597782161
62,1121_176698_000024_000000,0.2630160446823403,0.8279915179264767,0.2927881267627225,0.7861598269437838
63,5622_41172_000004_000000,0.28413080472827035,0.607483484596948,0.27971870404107857,0.5015282740122765
64,816_2301_000020_000000,0.22755096114438927,0.6024066152302985,0.2423684665932383,0.48044531644899885
65,100_122655_000050_000001,0.08987636833497127,0.9054034387618921,0.31939696378534005,0.49534289529670195
66,398_130093_000068_000001,0.20002909582748424,0.7915810662894013,0.258863928313887,0.4749253701741372
67,479_107479_000017_000001,0.5073732239927494,0.06747412532509728,0.49391403148023555,0.1063837293340994
68,1777_142750_000003_000000,0.2087324006036866,0.6209054149011441,0.31658167366156825,0.44909324356172986
69,2512_157242_000069_000000,0.1369161699596335,0.734507414030619,0.3170661507325299,0.14391073632928705
70,5570_73846_000041_000001,0.23405421149622826,0.8201401537366809,0.2169583958367453,0.7025712919573438
71,8498_287357_000044_000001,0.25073507431285535,0.36035994911057223,0.21130775209595196,0.46459200541795687
72,922_132300_000045_000000,0.14407076058602714,0.8246387160229633,0.2439371047130242,0.5785425827168583
73,4064_77779_000007_000004,0.24908703999514462,0.5164844497945814,0.24231589884821542,0.4727250078757841
74,209_157830_000013_000003,0.15801414627173163,0.8349390825581416,0.33526052226394154,-0.01266344460099239
75,3009_10327_000027_000002,0.26426419032414294,0.5506719994495121,0.2250150808751316,0.5790081299669281
76,8825_292252_000025_000001,0.32897412452868563,0.6147683970621453,0.2754459253314511,0.5380273528706279
77,2045_158081_000021_000002,0.20696960225826982,0.7841291635458189,0.21167345801792511,0.756076523426891
78,8329_279775_000014_000000,0.3503617609976158,0.6507119495512624,0.2728082863259209,0.6162335752616743
79,64_76974_000078_000001,0.3148084139810155,0.6991514858238232,0.8431003268154078,0.34277522950240086
80,5868_66166_000023_000001,0.15728244791579574,0.8002574296767712,0.20567968502404055,0.6952949594974231
81,242_122627_000035_000000,0.313640072709073,0.8432485564659673,0.4030628190585675,0.6780748615675916
82,5975_54006_000065_000000,0.15517809058030166,0.7774070448964236,0.17418699250900357,0.7367530029139274
83,303_123500_000016_000001,0.19098730053801732,0.4684680052170566,0.32992214740036585,0.025095954254154222
84,28_12332_000089_000009,0.21588397152101807,0.619580931999733,0.2315054594319694,0.6083019893175418
85,1417_1532_000028_000000,0.38843052062597305,0.5627835629659225,0.40586676761354007,0.49622047616451403
86,7766_109658_000060_000002,0.1963316351554946,0.540559386112232,0.2592050416654542,0.5381418077216786
87,175_123036_000033_000000,0.35271274757132676,0.568709810316637,0.2509905264044733,0.8039684013506714
88,115_122944_000007_000002,0.2614345760378993,0.4258132051885914,0.26983644797796125,0.4799317114031852
89,7140_72212_000028_000000,0.30408766269489956,0.49394127040816904,0.30764610408929877,0.46532825450490944
90,5126_27504_000010_000001,0.2452212936365562,0.6821333182072423,0.2554867822333465,0.6531786878164346
91,7754_105383_000065_000002,0.2546591263948171,0.4795342719460491,0.28779343264711893,0.1834086131360717
92,492_131887_000012_000001,0.37342482140468436,0.4437557401516678,0.412335642349012,0.27571297256477706
93,6637_69607_000032_000003,0.3296648943998529,0.7400577179278135,0.2617152838734554,0.7084516955978029
94,1066_5330_000033_000000,0.21582828084853614,0.8092164608967497,0.2327441343083321,0.8157575755932598
95,2137_131751_000003_000002,0.23113267908511542,0.7097321042315462,0.2632952880586742,0.6189415134705685
96,2061_147110_000005_000000,0.1518887976516099,0.7954609041276605,0.15446825480085757,0.7733809449077942
97,5724_13364_000138_000003,0.5904714688605982,-0.09652570512543096,0.5161561719260312,0.04977054378134493
98,8791_291101_000069_000002,0.24641459903442142,0.6443543236541153,0.2334661560120305,0.7046713073456178
99,5968_71320_000027_000001,0.2878401283110544,0.02915648016156689,0.10236785103525646,0.629435302020153
100,4957_30119_000023_000000,0.5009126910419808,-0.43731821881962935,0.552075798607803,-0.3937384392355717
101,4054_11077_000004_000004,0.36178322014184544,0.4000117819532921,0.3486913407824766,0.5080632205899319
102,1446_122614_000014_000000,0.18874418449403332,0.8124899164530096,0.20185943353341085,0.7685837743291319
103,850_131003_000012_000005,0.24238637721634115,0.7294427721125912,0.28025906848279925,0.6647674930243768
104,6895_96175_000009_000000,0.33265111190559227,0.5959383126274294,0.17498972019990197,0.8773310468790081
105,3927_6557_000008_000000,0.14984502526803548,0.6423543425536664,0.2077289631484059,0.5324856556409959
106,176_122025_000050_000002,0.12174983796245001,0.8065203366110284,0.11169711326237909,0.7437751226555301
107,3923_174992_000003_000007,0.18087112068344605,0.6297476674825957,0.1983341900234044,0.5313913706815867
108,835_130876_000089_000000,0.1935790151588401,0.7221318679864719,0.19803163840127666,0.6756640587913334
109,2204_131732_000030_000011,0.21538016055345457,0.8490398947585135,0.29874119467334687,0.653092467105398
110,8396_120282_000028_000000,0.3444518192184743,0.5691700205397614,0.4082748314093069,0.3176173217615857
111,5712_48848_000034_000002,0.5174376980049333,0.6717615997694113,0.5602804550089312,0.6731305313990988
112,925_8141_000003_000007,0.32239821174275385,0.9230974524031925,0.16313770573333952,0.2888534940346174
113,7240_92200_000004_000002,0.26652181959425714,0.6309146433506551,0.2551855441116935,0.5495156344596739
114,8118_114476_000009_000001,0.2899928481093676,0.1710984163043799,0.2388932171168427,0.6495690711580844
115,93_124558_000067_000000,0.39595553688845214,0.5497324980587319,0.18893040440304862,0.5913817364689317
116,7285_72200_000053_000000,0.7397893709666954,0.034770595894017216,0.7695477642617203,-0.271156421203625
117,5724_13364_000040_000000,0.5040920277827731,0.003625957574654355,0.6412696626462385,0.010179426770344946
118,4108_2772_000018_000000,0.23576597394832138,0.6360596441685034,0.33694546128780445,0.4755270984097858
119,8080_3961_000026_000003,0.31674414634364206,0.5987490601460322,0.266436366426146,0.5559940799758335
120,3370_756_000014_000005,0.18014885464186234,0.5771521714813622,0.16790729609116203,0.5198998654908763
121,5570_73846_000013_000003,0.16530156103986135,0.26171462104413296,0.1872011315303751,0.40939545718055287
122,4278_187018_000020_000001,0.21283414392124034,0.8045296106028205,0.1880223841472741,0.8414581202394654
123,1535_141642_000013_000002,0.15316913966563514,0.7355530820337033,0.18203510258446515,0.4974470496701909
124,5984_56840_000018_000000,0.2219000466198908,0.6543630171372733,0.24711058381712359,0.7908638644247391
125,369_125883_000053_000000,0.15235299209245706,0.9101136224118883,0.18791184081659348,0.8492990588776211
126,1052_139308_000067_000005,0.34456256400534496,0.6553546648581012,0.24108018965717007,0.663391296164321
127,1638_84448_000007_000000,0.19999662522109835,0.7889146308118784,0.17250573000970276,0.8220972874309319
128,14_212_000052_000005,0.43248719221948745,0.4491507753547777,0.29353175247332486,0.816435519872435
129,6160_44912_000040_000000,0.13372166749745126,0.4952779185239982,0.22117311061094386,0.2663127552927902
