wer,ld,m,insertions,deletions,substitutions,inserted_words,deleted_words,substituted_words
0.0,0,18,0,0,0,[],[],[]
0.5,6,12,0,2,0,[],"['end', 'quote']",[]
0.0,0,12,0,0,0,[],[],[]
0.125,3,24,0,1,0,[],['marsalis'],[]
0.35,7,20,1,0,1,['the'],[],"[('estimate', 'rest')]"
0.0,0,23,0,0,0,[],[],[]
0.0,0,6,0,0,0,[],[],[]
0.7777777777777778,14,18,2,0,2,"['half', 'a']",[],"[('halfacrown', 'crown'), ('flogged', 'flagged')]"
0.0,0,8,0,0,0,[],[],[]
0.0,0,12,0,0,0,[],[],[]
0.0,0,18,0,0,0,[],[],[]
0.16,4,25,0,0,1,[],[],"[('hod', 'hud')]"
0.0,0,27,0,0,0,[],[],[]
0.0,0,14,0,0,0,[],[],[]
0.0,0,34,0,0,0,[],[],[]
0.42857142857142855,6,14,0,2,0,[],"['end', 'quote']",[]
0.0,0,14,0,0,0,[],[],[]
0.0,0,20,0,0,0,[],[],[]
0.5384615384615384,7,13,1,0,1,['on'],[],"[('unwholesome', 'wholesome')]"
0.6470588235294118,11,17,0,1,2,[],['j'],"[('sorrels', 'sorrows'), ('e', 'je')]"
0.0,0,23,0,0,0,[],[],[]
0.0,0,3,0,0,0,[],[],[]
0.0,0,17,0,0,0,[],[],[]
0.5714285714285714,4,7,0,0,1,[],[],"[('handkerchief', 'anchorchief')]"
0.0,0,14,0,0,0,[],[],[]
0.0,0,7,0,0,0,[],[],[]
0.25,4,16,0,0,1,[],[],"[('chubbs', 'chubs')]"
0.3888888888888889,7,18,0,1,1,[],['where'],"[('upon', 'whereupon')]"
0.0,0,11,0,0,0,[],[],[]
0.0,0,26,0,0,0,[],[],[]
0.0,0,19,0,0,0,[],[],[]
0.3333333333333333,8,24,0,0,2,[],[],"[('mister', 'mr'), ('mullay', 'malay')]"
0.0,0,8,0,0,0,[],[],[]
0.0,0,24,0,0,0,[],[],[]
0.2962962962962963,8,27,0,0,2,[],[],"[('cheque', 'check'), ('mister', 'mr')]"
0.15,3,20,0,1,0,[],['misess'],[]
0.0,0,24,0,0,0,[],[],[]
0.0,0,11,0,0,0,[],[],[]
0.23529411764705882,4,17,0,0,1,[],[],"[('euins', 'ewens')]"
0.3181818181818182,7,22,0,1,1,[],['trade'],"[('mart', 'trademark')]"
0.18181818181818182,4,22,0,0,1,[],[],"[('husbands', 'husband')]"
0.0,0,16,0,0,0,[],[],[]
0.4,8,20,0,0,2,[],[],"[('longcontinued', 'lawcontinued'), ('saward', 'saul')]"
0.3333333333333333,4,12,0,0,1,[],[],"[('cortlandt', 'courtland')]"
0.0,0,13,0,0,0,[],[],[]
0.0,0,12,0,0,0,[],[],[]
0.3333333333333333,7,21,1,0,1,['four'],[],"[('foregoing', 'going')]"
0.0,0,10,0,0,0,[],[],[]
0.17391304347826086,4,23,0,0,1,[],[],"[('sorrels', 'sorrows')]"
1.5,15,10,1,0,3,['continue'],[],"[('continued', 'to'), ('a', 'cry'), ('crying', 'in')]"
0.0,0,14,0,0,0,[],[],[]
0.75,3,4,0,1,0,[],['motorcade'],[]
0.4,4,10,0,0,1,[],[],"[('courts', 'cords')]"
0.42105263157894735,8,19,0,0,2,[],[],"[('asked', 'ask'), ('cole', 'coal')]"
1.2,12,10,0,0,3,[],[],"[('early', 'apparently'), ('amuhia', 'amrria'), ('medean', 'median')]"
0.5263157894736842,10,19,2,0,1,"['out', 'of']",[],"[('outoftown', 'town')]"
0.0,0,19,0,0,0,[],[],[]
0.0,0,15,0,0,0,[],[],[]
0.0,0,29,0,0,0,[],[],[]
0.2222222222222222,4,18,0,0,1,[],[],"[('latterly', 'laterally')]"
0.14285714285714285,4,28,0,0,1,[],[],"[('courvoisier', 'kravassie')]"
0.0,0,11,0,0,0,[],[],[]
0.52,13,25,1,2,1,['runaes'],"['misess', 'earlene']","[('roominghouse', 'house')]"
0.0,0,14,0,0,0,[],[],[]
0.4444444444444444,4,9,0,0,1,[],[],"[('burke', 'burk')]"
0.4444444444444444,4,9,0,0,1,[],[],"[('end', 'and')]"
0.0,0,19,0,0,0,[],[],[]
0.46153846153846156,6,13,0,2,0,[],"['end', 'quote']",[]
0.6363636363636364,7,11,1,0,1,['president'],[],"[('presidentelect', 'elect')]"
0.34615384615384615,9,26,2,1,0,"['tubes', 'up']",['reexpand'],[]
0.6086956521739131,14,23,1,1,2,['cast'],['every'],"[('one', 'everyone'), ('caspars', 'verse')]"
0.0,0,19,0,0,0,[],[],[]
0.0,0,21,0,0,0,[],[],[]
