,uid,MCD_recon,MCD_gt
197,LJ002-0173,5.1973476,6.783615
198,LJ019-0334,4.825902,6.1225038
199,LJ001-0117,7.7567334,8.439328
200,LJ017-0170,5.2232714,6.677164
201,LJ009-0223,5.810937,7.409388
202,LJ036-0040,5.363054,9.507248
203,LJ035-0128,9.154797,9.3648205
204,LJ044-0157,5.5518723,6.830257
205,LJ039-0133,4.9039345,7.472798
206,LJ016-0203,5.298297,6.6316767
207,LJ027-0126,5.1828866,7.447247
208,LJ022-0117,4.918312,6.6333165
209,LJ010-0172,5.3151,6.5659246
210,LJ013-0265,7.5071144,8.461388
211,LJ034-0197,5.459819,7.1128607
212,LJ021-0025,5.3695064,6.872253
213,LJ018-0052,5.2556796,6.436695
214,LJ040-0209,5.3520284,6.9307203
215,LJ023-0099,5.405871,6.999264
216,LJ011-0218,5.221874,6.6524863
217,LJ021-0041,5.859945,7.1674285
218,LJ030-0046,5.907975,7.3593545
219,LJ024-0059,5.934021,7.221433
220,LJ012-0199,4.759461,8.001389
221,LJ027-0086,5.8441453,7.26353
222,LJ012-0282,8.267462,9.258795
223,LJ038-0042,5.0488076,6.4552755
224,LJ014-0254,4.301652,6.4197955
225,LJ015-0210,5.5955267,6.770299
226,LJ035-0174,5.351763,6.9190526
227,LJ008-0002,4.9823537,7.2424083
228,LJ038-0107,7.085092,7.6831727
229,LJ019-0052,5.6903276,7.175613
230,LJ011-0240,5.3652835,7.094466
231,LJ021-0174,5.0645003,6.4061403
232,LJ006-0197,5.297089,6.51662
233,LJ011-0290,5.2982936,6.572367
234,LJ030-0167,5.080078,7.2166734
235,LJ016-0223,5.423365,7.0779905
236,LJ031-0224,4.393999,5.977892
237,LJ034-0196,5.0877986,6.2791443
238,LJ029-0081,5.6193466,6.7016277
239,LJ035-0158,5.948512,7.231683
240,LJ026-0164,5.6376076,6.788425
241,LJ018-0089,5.423199,6.743768
242,LJ037-0149,5.513776,6.836035
243,LJ002-0092,4.6999245,6.953662
244,LJ043-0173,4.7203593,6.246338
245,LJ010-0160,5.483603,6.9307575
246,LJ017-0088,4.748229,6.7841325
247,LJ029-0147,5.327125,7.0107355
248,LJ005-0136,5.557708,6.833458
249,LJ050-0207,4.6698194,6.5832486
250,LJ030-0035,4.984336,11.962329
251,LJ002-0096,5.4449477,7.3639197
252,LJ014-0339,5.265084,6.8665996
253,LJ028-0058,5.110156,7.186216
254,LJ048-0166,5.3469744,6.62803
255,LJ039-0211,5.4876833,6.8127456
256,LJ019-0064,5.4583335,7.1986794
257,LJ002-0301,5.891679,7.127646
258,LJ002-0106,5.668637,7.278848
259,LJ013-0209,5.6461143,6.7284513
260,LJ040-0044,5.676943,7.275679
261,LJ037-0249,5.915098,9.391063
262,LJ029-0187,5.1098566,6.5954633
263,LJ012-0194,4.9429526,6.3139796
264,LJ032-0191,5.231207,6.9965773
265,LJ043-0103,5.5690765,6.790223
266,LJ031-0074,7.5033503,8.875401
267,LJ046-0007,5.067736,6.7863684
268,LJ031-0108,8.283379,9.24451
269,LJ012-0146,5.5379343,6.800624
270,LJ030-0128,4.763101,6.3852553
271,LJ015-0126,5.2964,6.566347
272,LJ040-0181,5.4521327,6.832274
273,LJ002-0059,5.6855803,7.1814237
274,LJ028-0342,5.3956122,6.4329047
275,LJ014-0050,5.0011544,7.716922
276,LJ018-0149,5.117571,7.6003356
277,LJ009-0075,5.7506185,6.768176
278,LJ003-0341,5.2509117,6.7911444
279,LJ033-0156,5.2708383,6.306012
280,LJ011-0070,5.5813937,6.8902264
281,LJ005-0286,5.3009,6.7444296
282,LJ040-0237,5.378254,6.376098
283,LJ044-0120,5.32758,7.0024242
284,LJ001-0027,5.827186,6.969398
285,LJ046-0077,5.3617787,6.584036
286,LJ050-0096,5.550197,6.9678745
287,LJ016-0013,5.2799525,6.6779246
288,LJ011-0045,5.878573,7.2473316
289,LJ028-0033,5.7152953,7.1578097
290,LJ019-0106,5.6673455,6.733699
291,LJ023-0135,5.528505,6.7292385
292,LJ002-0209,5.3839984,6.7659917
293,LJ013-0258,5.035468,7.0980854
294,LJ019-0124,5.426406,6.6060143
295,LJ003-0168,5.7484555,7.1234326
296,LJ006-0267,5.224987,7.015627
297,LJ026-0074,5.629596,7.0198894
298,LJ041-0186,5.423569,6.9240484
299,LJ033-0002,4.5984983,6.5718493
300,LJ018-0267,5.895898,7.087082
301,LJ011-0233,5.1614265,7.122034
302,LJ045-0195,4.9890137,7.4525557
303,LJ022-0017,4.715578,6.7249484
304,LJ011-0121,5.764515,6.973198
305,LJ012-0172,5.0797143,6.5977225
306,LJ042-0092,5.6808467,7.078808
307,LJ019-0325,5.40048,6.839477
308,LJ005-0209,5.5842786,7.3545465
309,LJ048-0157,5.331161,6.8743105
310,LJ005-0230,7.6764913,8.453796
311,LJ020-0010,5.027496,7.381346
312,LJ010-0299,5.2637277,6.8515186
